time,temperature,vol1,vol2
31.750,299.4,0.849,-0.468
31.800,299.4,0.849,-0.474
31.850,299.4,0.849,-0.468
31.900,299.4,0.849,-0.468
31.950,299.4,0.844,-0.468
32.000,299.4,0.844,-0.468
32.050,299.4,0.844,-0.468
32.100,299.4,0.844,-0.468
32.150,299.4,0.844,-0.468
32.200,299.4,0.849,-0.468
32.250,299.4,0.844,-0.468
32.300,299.4,0.844,-0.464
32.350,299.4,0.844,-0.468
32.400,299.4,0.844,-0.468
32.450,299.4,0.844,-0.468
32.500,299.4,0.844,-0.468
32.550,299.4,0.844,-0.468
32.600,299.4,0.844,-0.468
32.650,299.4,0.844,-0.468
32.700,299.4,0.844,-0.468
32.750,299.4,0.844,-0.468
32.800,299.4,0.844,-0.468
32.850,299.4,0.844,-0.468
32.900,299.4,0.844,-0.468
32.950,299.4,0.849,-0.468
33.000,299.4,0.849,-0.468
33.050,299.4,0.849,-0.468
33.100,299.4,0.849,-0.474
33.150,299.4,0.849,-0.468
33.200,299.4,0.849,-0.468
33.250,299.4,0.849,-0.468
33.300,299.4,0.844,-0.468
33.350,299.4,0.844,-0.468
33.400,299.4,0.849,-0.468
33.450,299.4,0.844,-0.468
33.500,299.4,0.849,-0.468
33.550,299.4,0.844,-0.468
33.600,299.4,0.844,-0.468
33.650,299.4,0.844,-0.468
33.700,299.4,0.844,-0.464
33.750,299.4,0.844,-0.468
33.800,299.4,0.844,-0.468
33.850,299.4,0.844,-0.468
33.900,299.4,0.844,-0.468
33.950,299.4,0.844,-0.468
34.000,299.4,0.844,-0.468
34.050,299.4,0.844,-0.468
34.100,299.4,0.844,-0.468
34.150,299.4,0.844,-0.468
34.200,299.4,0.844,-0.468
34.250,299.4,0.844,-0.468
34.300,299.4,0.844,-0.468
34.350,299.4,0.849,-0.468
34.400,299.4,0.849,-0.468
34.450,299.4,0.849,-0.468
34.500,299.4,0.849,-0.468
34.550,299.4,0.849,-0.474
34.600,299.4,0.849,-0.474
34.650,299.4,0.849,-0.468
34.700,299.4,0.849,-0.474
34.750,299.4,0.849,-0.468
34.800,299.4,0.844,-0.468
34.850,299.4,0.849,-0.468
34.900,299.4,0.844,-0.468
34.950,299.4,0.849,-0.468
35.000,299.4,0.849,-0.468
35.050,299.4,0.844,-0.468
35.100,299.4,0.844,-0.468
35.150,299.4,0.844,-0.464
35.200,299.4,0.844,-0.468
35.250,299.4,0.844,-0.468
35.300,299.4,0.844,-0.474
35.350,299.4,0.844,-0.468
35.400,299.4,0.844,-0.468
35.450,299.4,0.844,-0.468
35.500,299.4,0.844,-0.468
35.550,299.4,0.849,-0.468
35.600,299.4,0.844,-0.468
35.650,299.4,0.849,-0.468
35.700,299.4,0.844,-0.468
35.750,299.4,0.844,-0.468
35.800,299.4,0.849,-0.468
35.850,299.4,0.849,-0.468
35.900,299.4,0.849,-0.468
35.950,299.4,0.844,-0.468
36.000,299.4,0.849,-0.474
36.050,299.4,0.849,-0.468
36.100,299.4,0.849,-0.468
36.150,299.4,0.849,-0.468
36.200,299.4,0.844,-0.468
36.250,299.4,0.849,-0.468
36.300,299.4,0.849,-0.468
36.350,299.4,0.844,-0.468
36.400,299.4,0.844,-0.468
36.450,299.4,0.844,-0.468
36.500,299.4,0.844,-0.468
36.550,299.4,0.844,-0.468
36.600,299.4,0.844,-0.468
36.650,299.4,0.844,-0.468
36.700,299.4,0.844,-0.468
36.750,299.4,0.844,-0.468
36.800,299.4,0.844,-0.468
36.850,299.4,0.844,-0.474
36.900,299.4,0.844,-0.468
36.950,299.4,0.844,-0.468
37.000,299.4,0.849,-0.468
37.050,299.4,0.844,-0.468
37.100,299.4,0.844,-0.468
37.150,299.4,0.844,-0.474
37.200,299.4,0.844,-0.468
37.250,299.4,0.849,-0.468
37.300,299.4,0.849,-0.468
37.350,299.4,0.849,-0.468
37.400,299.4,0.849,-0.468
37.450,299.4,0.844,-0.468
37.500,299.4,0.849,-0.474
37.550,299.4,0.844,-0.468
37.600,299.4,0.844,-0.468
37.650,299.4,0.844,-0.468
37.700,299.4,0.849,-0.468
37.750,299.4,0.844,-0.468
37.800,299.4,0.844,-0.468
37.850,299.4,0.844,-0.468
37.900,299.4,0.844,-0.468
37.950,299.4,0.844,-0.474
38.000,299.4,0.844,-0.468
38.050,299.4,0.844,-0.468
38.100,299.4,0.844,-0.468
38.150,299.4,0.844,-0.468
38.200,299.4,0.844,-0.468
38.250,299.4,0.844,-0.468
38.300,299.4,0.844,-0.468
38.350,299.4,0.844,-0.464
38.400,299.4,0.844,-0.468
38.450,299.4,0.844,-0.468
38.500,299.4,0.844,-0.468
38.550,299.4,0.849,-0.468
38.600,299.4,0.849,-0.468
38.650,299.4,0.849,-0.468
38.700,299.4,0.849,-0.474
38.750,299.4,0.844,-0.474
38.800,299.4,0.849,-0.468
38.850,299.4,0.849,-0.474
38.900,299.4,0.849,-0.474
38.950,299.4,0.849,-0.474
39.000,299.4,0.844,-0.474
39.050,299.4,0.844,-0.474
39.100,299.4,0.844,-0.468
39.150,299.4,0.844,-0.468
39.200,299.4,0.844,-0.468
39.250,299.4,0.844,-0.468
39.300,299.5,0.844,-0.468
39.350,299.4,0.849,-0.468
39.400,299.4,0.844,-0.468
39.450,299.4,0.844,-0.468
39.500,299.4,0.844,-0.468
39.550,299.4,0.844,-0.468
39.600,299.4,0.844,-0.468
39.650,299.4,0.844,-0.468
39.700,299.4,0.844,-0.468
39.750,299.4,0.844,-0.468
39.800,299.4,0.844,-0.468
39.850,299.4,0.844,-0.474
39.900,299.4,0.849,-0.468
39.950,299.4,0.849,-0.474
40.000,299.4,0.844,-0.468
40.050,299.4,0.844,-0.468
40.100,299.4,0.849,-0.468
40.150,299.4,0.849,-0.468
40.200,299.4,0.844,-0.468
40.250,299.4,0.844,-0.468
40.300,299.4,0.849,-0.468
40.350,299.4,0.849,-0.474
40.400,299.4,0.844,-0.468
40.450,299.4,0.849,-0.468
40.500,299.4,0.849,-0.468
40.550,299.4,0.849,-0.468
40.600,299.4,0.844,-0.468
40.650,299.4,0.844,-0.468
40.700,299.4,0.849,-0.468
40.750,299.4,0.849,-0.468
40.800,299.4,0.844,-0.468
40.850,299.4,0.844,-0.468
